مرحبًا.	Hi.
اركض!	Run!
اخفض رأسك!	Duck!
اخفضي رأسك!	Duck!
اخفضوا رؤوسكم!	Duck!
النجدة!	Help!
اقفز!	Jump!
قف!	Stop!
توقف !	Stop!
إنتظر	Wait!
داوم.	Go on.
استمر.	Go on.
مرحباً.	Hello!
أهلاً.	Hello.
مرحباً.	Hello.
تعجّل!	Hurry!
استعجل!	Hurry!
انا اري	I see.
أنا فُزت!	I won!
استرح.	Relax.
ابتسم.	Smile.
في صحتك.	Cheers!
هل فهمت؟	Got it?
ركض.	He ran.
أعرف.	I know.
أعلم ذلك.	I know.
أنا أعلم	I know.
أنا في 19	I'm 19.
أنا بخير.	I'm OK.
استمع	Listen.
غير معقول!	No way!
حقاً؟	Really?
شكراً!	Thanks!
شكرا.	Thanks.
لماذا أنا؟	Why me?
رائع!	Awesome!
خذ راحتك.	Be cool.
أغرب عن وجهي	Beat it.
هاتفني.	Call me.
اتصل بي.	Call me.
تفضل بالدخول.	Come in.
تعال إلى الداخل	Come in.
بالله عليك!	Come on!
هيا	Come on!
هيّا	Come on!
اخرج من هنا!	Get out!
أُخرج!	Get out!
اخرج!	Get out.
اتركني و شأني.	Go away.
اذهب بعيداً.	Go away.
ارحل.	Go away.
مع السلامة.	Goodbye!
إلى اللقاء	Goodbye!
إنتظر	Hang on.
لقد أتى.	He came.
هو يجري	He runs.
ساعدني!	Help me!
النجدة! ساعدني!	Help me.
ساعدوني	Help me.
انتظر.	Hold on.
أنا موافق	I agree.
أنا حزين.	I'm sad.
أنا أيضاً.	Me, too.
أنا كذلك	Me, too.
اخرس!	Shut up!
اصمت!	Shut up!
اسكت!	Shut up!
أغلق فمك!	Shut up!
أوقفه	Stop it.
خذه	Take it.
أخبرني	Tell me.
توم فاز.	Tom won.
لقد ربح توم.	Tom won.
استيقظ!	Wake up!
أهلاً و سهلاً!	Welcome.
مرحباً بك!	Welcome.
اهلا وسهلا	Welcome.
مرحبا!	Welcome.
من فاز؟	Who won?
